Detector Name,Descriptor Name,camera-based estimated TTC(s)
FAST,BRISK, -0.205844
FAST,BRISK, -0.185713
FAST,BRISK, -9.71819
FAST,BRISK, -0.171486
FAST,BRISK, -5.3546
FAST,BRISK, -1.06638
FAST,BRISK, -0.174955
FAST,BRISK, -0.158576
FAST,BRISK, 6.70894
FAST,BRISK, -0.12385
,,
FAST,BRIEF, 10.472
FAST,BRIEF, -3.75626
FAST,BRIEF, -0.395531
FAST,BRIEF, 14.078
FAST,BRIEF, 8.45016
FAST,BRIEF, 13.9193
FAST,BRIEF, -0.179328
FAST,BRIEF, 12.4998
FAST,BRIEF, 9.99712
FAST,BRIEF, 2.12202
FAST,BRIEF, -0.116196
FAST,BRIEF, -0.147003
FAST,BRIEF, 10.7184
FAST,BRIEF, 11.3731
FAST,BRIEF, -0.305436
FAST,BRIEF, 7.81835
FAST,BRIEF, 11.6132
FAST,BRIEF, 7.2679
,,
FAST,ORB, 9.71202
FAST,ORB, 12.5026
FAST,ORB, 53.9114
FAST,ORB, -0.778776
FAST,ORB, 15.4043
FAST,ORB, nan
FAST,ORB, 188.255
FAST,ORB, 14.4466
FAST,ORB, 9.92779
FAST,ORB, -0.126871
FAST,ORB, -0.209961
FAST,ORB, 8.1562
FAST,ORB, 11.645
FAST,ORB, 7.6468
FAST,ORB, 10.074
FAST,ORB, 6.00747
FAST,ORB, 6.49689
FAST,ORB, nan
,,
FAST,FREAK, 12.0611
FAST,FREAK, nan
FAST,FREAK, -0.234709
FAST,FREAK, -0.675533
FAST,FREAK, -inf
FAST,FREAK, 21.1353
FAST,FREAK, 2.55519
FAST,FREAK, 14.8092
FAST,FREAK, -0.521947
FAST,FREAK, 10.3757
FAST,FREAK, -1.87267
FAST,FREAK, 10.2253
FAST,FREAK, -0.226925
FAST,FREAK, 10.521
FAST,FREAK, 8.94503
FAST,FREAK, 7.64697
FAST,FREAK, -0.253632
FAST,FREAK, -0.209878
,,
FAST,SIFT, 12.8616
FAST,SIFT, 15.7424
FAST,SIFT, 12.4081
FAST,SIFT, 14.006
FAST,SIFT, 30.1651
FAST,SIFT, -1.56022
FAST,SIFT, 10.6879
FAST,SIFT, 13.7857
FAST,SIFT, 11.7504
FAST,SIFT, -0.148934
FAST,SIFT, nan
FAST,SIFT, nan
FAST,SIFT, 11.6172
FAST,SIFT, 8.2582
FAST,SIFT, 8.35899
FAST,SIFT, 7.80615
FAST,SIFT, nan
FAST,SIFT, 7.21446
,,
BRISK,BRISK, 16.6516
BRISK,BRISK, 29.6955
BRISK,BRISK, nan
BRISK,BRISK, 28.2427
BRISK,BRISK, -398.605
BRISK,BRISK, 18.452
BRISK,BRISK, 52.8104
BRISK,BRISK, 17.4534
BRISK,BRISK, 48.0071
BRISK,BRISK, 12.7231
BRISK,BRISK, 18.8342
BRISK,BRISK, 148.114
BRISK,BRISK, 10.0354
BRISK,BRISK, 14.9912
BRISK,BRISK, 20.3055
BRISK,BRISK, -0.326886
BRISK,BRISK, 10.5871
BRISK,BRISK, -2.31529
,,
BRISK,BRIEF, 226.028
BRISK,BRIEF, -0.228603
BRISK,BRIEF, nan
BRISK,BRIEF, -13.1717
BRISK,BRIEF, 26.0631
